"","time","x","y","pupil","num_fields","is_valid_row","real_row","conf_start","stim_start","conf_end","stim_end","trial","pre_stim","ref_mean","ref_sd","thisRow.t","notes","block","Trialtype","withinblocktrial","RTdec","resp","cor","dots.direction","cor_resp","coherence","scale","SR_conf","RTrating","interval","interTrial.interval","start_conf","subject","age","gender","handedness","X","n"
"1",7641490,"  879.6","605.8",5743,5,TRUE,NA,NA,NA,NA,NA,1,TRUE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1
"101",7641590,"  877.0","603.3",5739,5,TRUE,NA,NA,NA,NA,NA,1,TRUE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,101
"201",7641588,"  875.0","  607.8",5733,5,TRUE,176,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,201
"301",7641687,"  883.9","  609.9",5742,5,TRUE,276,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,301
"401",7641787,"  888.4","  608.3",5732,5,TRUE,376,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,401
"501",7641887,"  888.5","  611.0",5727,5,TRUE,476,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,501
"601",7641987,"  906.4","  588.1",5709,5,TRUE,580,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,601
"701",7642087,"  909.3","  589.1",5710,5,TRUE,680,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,701
"801",7642187,"  906.7","  586.0",5657,5,TRUE,780,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,801
"901",7642287,"  917.9","  588.0",5611,5,TRUE,880,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,901
"1001",7642386,"  915.7","  590.8",5558,5,TRUE,980,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1001
"1101",7642486,"  909.6","  588.7",5534,5,TRUE,1080,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1101
"1201",7642586,"  979.1","  598.2",5524,5,TRUE,1182,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1201
"1301",7642686,"  949.9","  597.0",5546,5,TRUE,1284,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1301
"1401",7642786,"  953.8","  602.7",5547.03914590747,5,TRUE,1386,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1401
"1501",7642886,"   .","   .",5548.46263345196,5,TRUE,1487,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1501
"1601",7642986,"  936.3","  666.7",5549.88612099644,5,TRUE,1590,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1601
"1701",7643086,"  942.5","  647.8",5562,5,TRUE,1690,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1701
"1801",7643186,"  939.6","  640.8",5525,5,TRUE,1790,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1801
"1901",7643286,"  934.5","  636.7",5446,5,TRUE,1890,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,1901
"2001",7643386,"  937.0","  634.1",5419,5,TRUE,1990,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2001
"2101",7643486,"  933.7","  630.2",5373,5,TRUE,2090,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2101
"2201",7643586,"  933.5","  635.9",5338,5,TRUE,2190,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2201
"2301",7643686,"  933.6","  624.6",5302,5,TRUE,2290,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2301
"2401",7643786,"  938.9","  633.7",5283,5,TRUE,2390,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2401
"2501",7643886,"  939.8","  626.7",5243,5,TRUE,2490,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2501
"2601",7643986,"  937.4","  630.3",5235,5,TRUE,2590,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2601
"2701",7644086,"  935.2","  627.8",5234,5,TRUE,2690,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2701
"2801",7644186,"  934.0","  626.7",5232,5,TRUE,2790,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2801
"2901",7644286,"  936.8","  629.1",5204,5,TRUE,2890,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,2901
"3001",7644386,"  941.0","  617.5",5150,5,TRUE,2994,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3001
"3101",7644486,"  941.1","  616.7",5086,5,TRUE,3094,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3101
"3201",7644586,"  940.7","  616.7",5072,5,TRUE,3194,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3201
"3301",7644686,"  932.0","  613.5",5036,5,TRUE,3294,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3301
"3401",7644786,"  939.6","  612.7",5031,5,TRUE,3394,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3401
"3501",7644886,"  929.4","  616.6",5036,5,TRUE,3494,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3501
"3601",7644986,"  930.6","  609.8",5037,5,TRUE,3594,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3601
"3701",7645086,"  929.7","  613.3",5042,5,TRUE,3694,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3701
"3801",7645186,"  930.1","  616.9",5088,5,TRUE,3794,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3801
"3901",7645285,"  937.3","  613.3",5077,5,TRUE,3894,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,3901
"4001",7645385,"  939.0","  615.8",5081,5,TRUE,3994,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4001
"4101",7645485," 1130.3","  591.0",5069,5,TRUE,4098,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4101
"4201",7645585," 1129.3","  593.0",5081,5,TRUE,4198,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4201
"4301",7645685," 1129.9","  595.8",5104,5,TRUE,4298,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4301
"4401",7645785," 1130.9","  595.6",5142,5,TRUE,4398,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4401
"4501",7645885," 1132.0","  595.3",5167,5,TRUE,4498,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4501
"4601",7645985," 1132.7","  590.3",5212,5,TRUE,4598,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4601
"4701",7646085," 1133.7","  591.0",5216,5,TRUE,4702,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4701
"4801",7646185," 1141.3","  593.4",5257,5,TRUE,4802,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4801
"4901",7646284," 1139.7","  602.9",5316,5,TRUE,4902,FALSE,FALSE,FALSE,FALSE,1,FALSE,5735.09803921569,10.6338799155272,NA,NA,2,"Main",0,0.872865499999534,"down",1,270,"down",0.515102040816326,"conf","0.96","1.022473600000012","3.7637486533665037",1.65843511859501,0.708028989249843,5,2654,"h","r",NA,4901
"5001",7648113,"  918.0","587",5615,5,TRUE,NA,NA,NA,NA,NA,2,TRUE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5001
"5101",7648111,"  918.8","588.1",5613,5,TRUE,5046,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5101
"5201",7648210,"  932.0","571.9",5573,5,TRUE,5150,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5201
"5301",7648310,"  933.6","571.4",5573,5,TRUE,5250,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5301
"5401",7648410,"  929.2","579.6",5560,5,TRUE,5350,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5401
"5501",7648510,"  931.4","579.4",5562,5,TRUE,5450,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5501
"5601",7648610,"  938.0","580.1",5562,5,TRUE,5550,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5601
"5701",7648710,"  939.5","578.8",5594,5,TRUE,5650,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5701
"5801",7648810,"  898.6","568.9",5586,5,TRUE,5752,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5801
"5901",7648910,"  887.1","561.2",5542,5,TRUE,5854,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,5901
"6001",7649010,"  891.8","560.9",5511,5,TRUE,5954,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6001
"6101",7649110,"  885.9","562.9",5514,5,TRUE,6054,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6101
"6201",7649210,"  890.4","564",5523,5,TRUE,6154,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6201
"6301",7649310,"  892.2","571.2",5527,5,TRUE,6254,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6301
"6401",7649410,"  890.7","571.6",5525,5,TRUE,6354,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6401
"6501",7649509,"  891.4","572.3",5513,5,TRUE,6454,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6501
"6601",7649609,"  893.2","568.7",5550,5,TRUE,6554,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6601
"6701",7649709,"  892.9","574.5",5538,5,TRUE,6654,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6701
"6801",7649809,"  957.5","630.4",5460,5,TRUE,6760,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6801
"6901",7649909,"  941.0","637.6",5500,5,TRUE,6862,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,6901
"7001",7650009,"  939.7","628.6",5517,5,TRUE,6962,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7001
"7101",7650109,"  937.6","629.6",5532,5,TRUE,7062,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7101
"7201",7650209,"  937.2","622.7",5556,5,TRUE,7162,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7201
"7301",7650309,"  941.8","624",5574,5,TRUE,7262,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7301
"7401",7650409,"  941.1","626.1",5554,5,TRUE,7362,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7401
"7501",7650508,"  947.7","609.4",5552,5,TRUE,7466,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7501
"7601",7650608,"  943.6","607.7",5546,5,TRUE,7566,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7601
"7701",7650708,"  978.2","608.7",5544,5,TRUE,7668,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7701
"7801",7650808,"  992.6","608.1",5526,5,TRUE,7770,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7801
"7901",7650908,"  995.4","608.2",5559,5,TRUE,7870,FALSE,FALSE,FALSE,FALSE,2,FALSE,5604.52941176471,9.70934619894405,NA,NA,2,"Main",1,1.3778786999992,"up",1,90,"up",0.454489795918367,"conf","0.21999999999999997","2.1509862000002613","2.372194654984982",3.29001263843318,0.628456923312874,5,2654,"h","r",NA,7901
